datetime,solar_irradiance,kt,ambient_temperature,flow_rate,water_input_temperature,tank_temperature,water_output_temperature,hour,day_of_week,month,saison_printemps
2023-03-12 00:00:00+01:00,0.0,0.2,0.10912213511470126,0.5315078993085547,0.7914203587305626,0.07541322012439489,0.041459140250388216,0.0,0.0,0.0,1.0
2023-03-12 01:00:00+01:00,0.0,0.2,0.06377400700680125,0.35872611570601864,0.7096216218982541,0.047837360340626245,0.01744460610020271,0.043478260869565216,0.0,0.0,1.0
2023-03-12 02:00:00+01:00,0.0,0.2,0.050024844833540194,0.05981812062699754,0.4364265028303538,0.16521904614698024,0.09826221995908391,0.08695652173913043,0.0,0.0,1.0
2023-03-12 03:00:00+01:00,0.0,0.2,0.026527002580468806,0.17389761434204587,0.6413236594335945,0.08051119063679513,0.016322830276046862,0.13043478260869565,0.0,0.0,1.0
2023-03-12 04:00:00+01:00,0.0,0.2,0.015012784142726776,0.008403750250574604,0.037649477321354485,0.09719657877825583,0.043441303697032585,0.17391304347826086,0.0,0.0,1.0
2023-03-12 05:00:00+01:00,0.0,0.2,0.019458693337930377,0.0686029946729072,0.5760271959115719,0.09879739753880157,0.02644460417807415,0.21739130434782608,0.0,0.0,1.0
2023-03-12 06:00:00+01:00,0.0,0.2,0.0,0.17311695391602822,0.43438832435634556,0.09144829610222371,0.04293214415729718,0.2608695652173913,0.0,0.0,1.0
2023-03-12 07:00:00+01:00,0.08607242701439208,0.52,0.13811290834542034,0.9999999999999998,0.4862037149602403,0.1111079224475583,0.05904238610685175,0.30434782608695654,0.0,0.0,1.0
2023-03-12 08:00:00+01:00,0.32215306302446894,0.66,0.3995139612402844,0.0034167516830629907,1.0,0.4225995790187521,0.3960306550078919,0.34782608695652173,0.0,0.0,1.0
2023-03-12 09:00:00+01:00,0.5811180881210869,0.72,0.5400266728847011,0.0,0.34626425427775276,0.6685039393795965,0.6095110563326277,0.3913043478260869,0.0,0.0,1.0
2023-03-12 10:00:00+01:00,0.8304227670959017,0.77,0.734915079661813,0.37315801944585336,0.15379658170815613,0.8802259556865014,0.8257893536805071,0.43478260869565216,0.0,0.0,1.0
2023-03-12 11:00:00+01:00,0.9776304485777056,0.78,0.8922795764827934,0.49758375521373566,0.4140130072421182,0.9378050229707947,0.9177002130337398,0.4782608695652174,0.0,0.0,1.0
2023-03-12 12:00:00+01:00,1.0,0.77,0.9661117802814808,0.4048695824230186,0.2598696914055465,0.9741223157749904,0.9317886953028335,0.5217391304347826,0.0,0.0,1.0
2023-03-12 13:00:00+01:00,0.9926760485941998,0.78,1.0,0.6531440914970394,0.2289763240282081,0.9999999999999999,0.9999999999999999,0.5652173913043478,0.0,0.0,1.0
2023-03-12 14:00:00+01:00,0.8174849317202467,0.74,0.975394166765036,0.7657404669532639,0.6497232855289823,0.7810537068360256,0.7624720565141941,0.6086956521739131,0.0,0.0,1.0
2023-03-12 15:00:00+01:00,0.6554251534318566,0.73,0.8831716459193099,0.7344050559730746,0.1538262651012161,0.6771515906326798,0.6325993284716399,0.6521739130434783,0.0,0.0,1.0
2023-03-12 16:00:00+01:00,0.40485147826830664,0.68,0.7673145298095677,0.8778365214992137,0.5502719729693903,0.411821280978904,0.3541632640848503,0.6956521739130435,0.0,0.0,1.0
2023-03-12 17:00:00+01:00,0.14968855452185842,0.57,0.6179169760753768,0.9283544817327394,0.5270291217614032,0.23920050665105153,0.19063058855348225,0.7391304347826086,0.0,0.0,1.0
2023-03-12 18:00:00+01:00,0.00641202743866353,0.32,0.37594287471635524,0.7414071258486443,0.41029950099518264,0.0,0.0,0.7826086956521738,0.0,0.0,1.0
2023-03-12 19:00:00+01:00,0.0,0.2,0.26011440606971126,0.8968269377433218,0.25346631881330106,0.08530038779320903,0.05526043278512882,0.8260869565217391,0.0,0.0,1.0
2023-03-12 20:00:00+01:00,0.0,0.2,0.23688127599166064,0.9932027170554663,0.7080682307715529,0.06482917325234105,0.0,0.8695652173913043,0.0,0.0,1.0
2023-03-12 21:00:00+01:00,0.0,0.2,0.19877285255374966,0.8812764718601498,0.0,0.14333779821767167,0.10978256576560863,0.9130434782608695,0.0,0.0,1.0
2023-03-12 22:00:00+01:00,0.0,0.2,0.19328342897710982,0.7762511683968503,0.4478662933564854,0.10192292687363791,0.0582733028358452,0.9565217391304348,0.0,0.0,1.0
2023-03-12 23:00:00+01:00,0.0,0.2,0.13775092457681948,0.5352990229538432,0.896880252299745,0.1230230424405302,0.05363385715004754,1.0,0.0,0.0,1.0
