datetime,solar_irradiance,kt,ambient_temperature,flow_rate,water_input_temperature,tank_temperature,water_output_temperature,hour,day_of_week,month,saison_automne
2023-10-23 00:00:00+01:00,0.0,0.2,0.3857711339569301,0.5825309756133877,0.9593342485345535,0.18885938809618752,0.13163387007408023,0.0,0.0,0.0,1.0
2023-10-23 01:00:00+01:00,0.0,0.2,0.3515181145641013,0.5450434779896732,0.9592367977271117,0.4113436165410653,0.3202890376542853,0.043478260869565216,0.0,0.0,1.0
2023-10-23 02:00:00+01:00,0.0,0.2,0.420082663688397,0.5009170149152318,0.4098875007637628,0.25406603284469753,0.1527862294269151,0.08695652173913043,0.0,0.0,1.0
2023-10-23 03:00:00+01:00,0.0,0.2,0.26490812486822435,0.3136707724347616,0.9717945652787141,0.34067708556975074,0.2719948315689349,0.13043478260869565,0.0,0.0,1.0
2023-10-23 04:00:00+01:00,0.0,0.2,0.28151175979563314,0.1569210645638196,0.6759547497041543,0.44299902107729583,0.3552564148550772,0.17391304347826086,0.0,0.0,1.0
2023-10-23 05:00:00+01:00,0.0,0.2,0.27196494523544024,0.2032809885375132,0.3077189530364155,0.30800678125431125,0.21332504562414067,0.21739130434782608,0.0,0.0,1.0
2023-10-23 06:00:00+01:00,0.0,0.2,0.20295600766357502,0.0,0.9244060044306086,0.35191495759996405,0.24254017481010504,0.2608695652173913,0.0,0.0,1.0
2023-10-23 07:00:00+01:00,0.07722179870196763,0.29,0.4641379728421131,0.9724586704016326,0.3586513423330988,0.20873719134657742,0.12285717207507751,0.30434782608695654,0.0,0.0,1.0
2023-10-23 08:00:00+01:00,0.19832285979190273,0.32,0.6990749065377964,0.35722560475116594,0.6492091765025592,0.4087477624483129,0.3322602355863946,0.34782608695652173,0.0,0.0,1.0
2023-10-23 09:00:00+01:00,0.3516225404347378,0.35,0.8262094318993518,0.3401332424518819,0.531774521878007,0.6528252201386722,0.6549894002673295,0.3913043478260869,0.0,0.0,1.0
2023-10-23 10:00:00+01:00,0.2603704543113217,0.27,0.9096677470145198,0.28431606131371256,0.5568501519085229,0.44781888684668747,0.29802257105653407,0.43478260869565216,0.0,0.0,1.0
2023-10-23 11:00:00+01:00,0.5090808694756361,0.36,0.992549506817296,0.32535672999641063,1.0000000000000004,0.8025783526104107,0.775951901588535,0.4782608695652174,0.0,0.0,1.0
2023-10-23 12:00:00+01:00,0.9999999999999999,0.5,1.0,0.7513278175339452,0.6642596059935277,1.0,1.0,0.5217391304347826,0.0,0.0,1.0
2023-10-23 13:00:00+01:00,0.4075042752652724,0.33,0.9331201640797575,0.6684442061481798,0.5937214182595745,0.680622960370822,0.6434263463827579,0.5652173913043478,0.0,0.0,1.0
2023-10-23 14:00:00+01:00,0.1683712784588441,0.23,0.9189500225776355,0.6603153977492288,0.4001248633055847,0.5606765273393814,0.5655775519769817,0.6086956521739131,0.0,0.0,1.0
2023-10-23 15:00:00+01:00,0.2355961677140208,0.31,0.7403233697062617,0.8520359134936938,0.6527241753505435,0.381159963734492,0.22809057225639817,0.6521739130434783,0.0,0.0,1.0
2023-10-23 16:00:00+01:00,0.12763984753270835,0.3,0.6818875713231747,0.7959450272613106,0.6206531471818324,0.20591847221189186,0.1283799174865634,0.6956521739130435,0.0,0.0,1.0
2023-10-23 17:00:00+01:00,0.019109920675800966,0.25,0.35911076036222367,0.9197071542627803,0.34866860554262,0.2236984616494726,0.11897045140534557,0.7391304347826086,0.0,0.0,1.0
2023-10-23 18:00:00+01:00,0.0,0.2,0.3164020773840641,1.0,0.8429946830711237,0.18791606016850615,0.09027114230200661,0.7826086956521738,0.0,0.0,1.0
2023-10-23 19:00:00+01:00,0.0,0.2,0.14367938898289268,0.9321100125224836,0.6156550659891922,0.0,0.0,0.8260869565217391,0.0,0.0,1.0
2023-10-23 20:00:00+01:00,0.0,0.2,0.11570794451419397,0.805680836757619,0.0,0.10381158515524413,0.031155515313771698,0.8695652173913043,0.0,0.0,1.0
2023-10-23 21:00:00+01:00,0.0,0.2,0.05730040519574553,0.8340041457655868,0.31491048103379926,0.11302373434801716,0.03867709599081115,0.9130434782608695,0.0,0.0,1.0
2023-10-23 22:00:00+01:00,0.0,0.2,0.007001502949838034,0.7512855386710252,0.9892388978336131,0.1090217568716394,0.02516416922717557,0.9565217391304348,0.0,0.0,1.0
2023-10-23 23:00:00+01:00,0.0,0.2,0.0,0.7407627509715383,0.8551335009777241,0.26263044080695774,0.1393661164704274,1.0,0.0,0.0,1.0
