datetime,solar_irradiance,kt,ambient_temperature,flow_rate,water_input_temperature,tank_temperature,water_output_temperature,hour,day_of_week,month,saison_été
2023-07-04 00:00:00+01:00,0.0,0.2,0.03813775745745285,0.5374407172586286,0.24107693687912946,0.03306468931387996,0.0,0.0,0.0,0.0,1.0
2023-07-04 01:00:00+01:00,0.0,0.2,0.052163471156388974,0.2643960193259133,1.0,0.09202542884200149,0.06519818927545729,0.043478260869565216,0.0,0.0,1.0
2023-07-04 02:00:00+01:00,0.0,0.2,0.05384840911066213,0.24117258208990244,0.5416767450126221,0.08118823814582488,0.046267519207518815,0.08695652173913043,0.0,0.0,1.0
2023-07-04 03:00:00+01:00,0.0,0.2,0.0,0.19854365889901937,0.9528064881966598,0.0597875890123053,0.046222364353761924,0.13043478260869565,0.0,0.0,1.0
2023-07-04 04:00:00+01:00,0.0,0.2,0.016395124500916403,0.07203056385539897,0.04910129017551501,0.07786611907951568,0.055979344112568,0.17391304347826086,0.0,0.0,1.0
2023-07-04 05:00:00+01:00,0.002827558741537236,0.26,0.014478270650490899,0.020792888351880978,0.872839289728744,0.14028808044750396,0.09634700396154428,0.21739130434782608,0.0,0.0,1.0
2023-07-04 06:00:00+01:00,0.059121404282694606,0.42,0.16799995850031157,1.0,0.0,0.11894139605959808,0.10647901454181097,0.2608695652173913,0.0,0.0,1.0
2023-07-04 07:00:00+01:00,0.18793462610666914,0.53,0.23418872180503003,0.10321860154995832,0.738253662880834,0.25054134068918243,0.21042051615242574,0.30434782608695654,0.0,0.0,1.0
2023-07-04 08:00:00+01:00,0.3214031339031339,0.57,0.4514771183400703,0.0,1.0,0.4103660021662635,0.3988637433775225,0.34782608695652173,0.0,0.0,1.0
2023-07-04 09:00:00+01:00,0.5965076739270286,0.69,0.6506535339131743,0.31798029909842584,0.6338851630019189,0.623989110228775,0.60994791917746,0.3913043478260869,0.0,0.0,1.0
2023-07-04 10:00:00+01:00,0.7632294825843213,0.72,0.7635112517688132,0.17802915253319662,0.25614652758567225,0.7961247602188891,0.781193155086667,0.43478260869565216,0.0,0.0,1.0
2023-07-04 11:00:00+01:00,0.9670748705694944,0.78,1.0,0.2611101587021242,0.24645096451521997,0.9999999999999999,0.9691617616124711,0.4782608695652174,0.0,0.0,1.0
2023-07-04 12:00:00+01:00,1.0,0.78,0.9744104180978237,0.2974649706595729,1.0,0.9968310917240873,1.0,0.5217391304347826,0.0,0.0,1.0
2023-07-04 13:00:00+01:00,0.9791915571485464,0.78,0.9831366779328832,0.5129166597241768,1.0,0.9483000946359831,0.9333438392777592,0.5652173913043478,0.0,0.0,1.0
2023-07-04 14:00:00+01:00,0.8826823514995559,0.77,0.9817701590807166,0.614706217749263,0.31070606611402773,0.8816378897721678,0.8571784310751295,0.6086956521739131,0.0,0.0,1.0
2023-07-04 15:00:00+01:00,0.7281231810801704,0.75,0.945012021007559,0.7256892523897189,0.267944327050607,0.7101634993220317,0.718191308067813,0.6521739130434783,0.0,0.0,1.0
2023-07-04 16:00:00+01:00,0.5340042275526147,0.72,0.8627726861974367,0.5901002286287205,0.6114848888284756,0.5506554486573615,0.5337760894230049,0.6956521739130435,0.0,0.0,1.0
2023-07-04 17:00:00+01:00,0.32040496175800837,0.67,0.8073594452973532,0.6395241749654168,1.0,0.33714870311328415,0.3077531920531077,0.7391304347826086,0.0,0.0,1.0
2023-07-04 18:00:00+01:00,0.1204086634194161,0.56,0.6678151516114905,0.7792805032436814,0.4384295496630557,0.1442868110930211,0.09629899518908258,0.7826086956521738,0.0,0.0,1.0
2023-07-04 19:00:00+01:00,0.007311419497799426,0.32,0.4816492937999568,0.6862327421777314,0.53557682232762,0.09178021152488658,0.05932476544746779,0.8260869565217391,0.0,0.0,1.0
2023-07-04 20:00:00+01:00,0.0,0.2,0.3720252617961086,0.7902319804803528,0.318290766445827,0.026925289644023853,0.011513537652449113,0.8695652173913043,0.0,0.0,1.0
2023-07-04 21:00:00+01:00,0.0,0.2,0.2658143625866445,0.6822057340957806,0.44880455348265347,0.05343623959959731,0.03388870604745298,0.9130434782608695,0.0,0.0,1.0
2023-07-04 22:00:00+01:00,0.0,0.2,0.17060006458020238,0.532826583991818,0.864376222602683,0.0,0.03343031947379027,0.9565217391304348,0.0,0.0,1.0
2023-07-04 23:00:00+01:00,0.0,0.2,0.14238245289748575,0.563021133103849,1.0,0.04048282477456466,0.053049229759817185,1.0,0.0,0.0,1.0
