datetime,solar_irradiance,kt,ambient_temperature,flow_rate,water_input_temperature,tank_temperature,water_output_temperature,hour,day_of_week,month,saison_hiver
2024-01-15 00:00:00+01:00,0.0,0.2,0.004792764576971198,0.5727608805600806,0.6341941811421936,0.11383192107419049,0.050645001739870965,0.0,0.0,0.0,1.0
2024-01-15 01:00:00+01:00,0.0,0.2,0.0,0.39210727445171856,0.2112367931035286,0.17863617737151682,0.11595637586814078,0.043478260869565216,0.0,0.0,1.0
2024-01-15 02:00:00+01:00,0.0,0.2,0.024426292211237488,0.3547284718998901,0.7259655533220748,0.18910360515788316,0.20063460222814422,0.08695652173913043,0.0,0.0,1.0
2024-01-15 03:00:00+01:00,0.0,0.2,0.05021322930718686,0.09559605428841778,0.03952885881049095,0.2101532307533447,0.1779498979335925,0.13043478260869565,0.0,0.0,1.0
2024-01-15 04:00:00+01:00,0.0,0.2,0.06566395635846556,0.0,0.0,0.17432283292372586,0.08954643969591314,0.17391304347826086,0.0,0.0,1.0
2024-01-15 05:00:00+01:00,0.0,0.2,0.06152612742679908,0.02455162574990255,0.14606677981348293,0.2309957315389488,0.1549149728460557,0.21739130434782608,0.0,0.0,1.0
2024-01-15 06:00:00+01:00,0.0,0.2,0.013634111688932027,0.12338184487290005,0.7148485425520921,0.3530611208041454,0.246137365155074,0.2608695652173913,0.0,0.0,1.0
2024-01-15 07:00:00+01:00,0.002360426929392447,0.2,0.030750122340520214,0.052816984360164576,0.1988635371161558,0.29557230966322456,0.24555592979128682,0.30434782608695654,0.0,0.0,1.0
2024-01-15 08:00:00+01:00,0.0693452380952381,0.3,0.2494055538676494,0.9257518607672417,0.4289424499506911,0.1718210437450194,0.14833438792651865,0.34782608695652173,0.0,0.0,1.0
2024-01-15 09:00:00+01:00,0.25311986863711,0.4,0.4785766906672646,0.34784040549988315,0.11540796235789852,0.3540090778491962,0.26534802782176503,0.3913043478260869,0.0,0.0,1.0
2024-01-15 10:00:00+01:00,0.48046695402298845,0.47,0.5857858792856581,0.3851716398583934,0.7888022355966005,0.6875549518546025,0.7170895470687599,0.43478260869565216,0.0,0.0,1.0
2024-01-15 11:00:00+01:00,0.7260485084838533,0.53,0.7950173658784796,0.32574117643067846,0.6272190407770131,0.792390961822935,0.7385740039154955,0.4782608695652174,0.0,0.0,1.0
2024-01-15 12:00:00+01:00,0.9999999999999999,0.6,0.9501670017969457,0.40664297168914243,0.4185122397197709,0.9980642230901806,0.9999999999999998,0.5217391304347826,0.0,0.0,1.0
2024-01-15 13:00:00+01:00,0.9306143951833606,0.59,0.9660289159062883,0.520404224743092,0.07105345376757644,1.0000000000000002,0.9734435215470734,0.5652173913043478,0.0,0.0,1.0
2024-01-15 14:00:00+01:00,0.7393103448275862,0.56,0.9629837285634344,0.571309769049275,0.5348945403497436,0.6730899382560718,0.5937827153238724,0.6086956521739131,0.0,0.0,1.0
2024-01-15 15:00:00+01:00,0.4986880815544609,0.53,1.0000000000000004,0.9326901172747579,0.6342098205600917,0.523761001667969,0.4475595456209873,0.6521739130434783,0.0,0.0,1.0
2024-01-15 16:00:00+01:00,0.2034729064039409,0.44,0.6985042595095861,0.7821843014203038,0.49855971003379773,0.33607899035386146,0.3524847833571514,0.6956521739130435,0.0,0.0,1.0
2024-01-15 17:00:00+01:00,0.017480158730158728,0.29,0.42669835396863487,1.0,0.39323888371188653,0.046278245793755834,0.0,0.7391304347826086,0.0,0.0,1.0
2024-01-15 18:00:00+01:00,0.0,0.2,0.41951885598866046,0.8991132235855437,0.867323906170073,0.06395907419747893,0.044637060788706995,0.7826086956521738,0.0,0.0,1.0
2024-01-15 19:00:00+01:00,0.0,0.2,0.35817026690259324,0.978835175609071,0.46399862391625346,0.0,0.0,0.8260869565217391,0.0,0.0,1.0
2024-01-15 20:00:00+01:00,0.0,0.2,0.37622895989043803,0.8825020464314068,1.0,0.1503720166171778,0.14591812663415515,0.8695652173913043,0.0,0.0,1.0
2024-01-15 21:00:00+01:00,0.0,0.2,0.34232235366926567,0.6287403166928833,0.7006650843896045,0.13150303975511313,0.08354391164978403,0.9130434782608695,0.0,0.0,1.0
2024-01-15 22:00:00+01:00,0.0,0.2,0.18795431382952987,0.5478724922619442,0.1257722870107787,0.06633906948962731,0.0,0.9565217391304348,0.0,0.0,1.0
2024-01-15 23:00:00+01:00,0.0,0.2,0.01514945573497517,0.4356812769098706,0.6038365524744247,0.15280652297903208,0.0957014899837545,1.0,0.0,0.0,1.0
