datetime,solar_irradiance,kt,ambient_temperature,flow_rate,water_input_temperature,tank_temperature,water_output_temperature,hour,day_of_week,month,saison_automne,saison_printemps
2023-03-19 00:00:00+01:00,0.0,0.2,0.15091714684190682,0.6658348693697862,0.5037644421348046,0.10476554951953643,0.11480879946438471,0,6,3,0.0,1.0
2023-03-19 01:00:00+01:00,0.0,0.2,0.05527038737184009,0.3471332130717672,0.5556362374368702,0.07524865472805542,0.05674795791012521,1,6,3,0.0,1.0
2023-03-19 02:00:00+01:00,0.0,0.2,0.06790744643425883,0.206643470269049,0.8230226290947773,0.11563790765924276,0.0831357142065865,2,6,3,0.0,1.0
2023-03-19 03:00:00+01:00,0.0,0.2,0.12628264033869763,0.3680342531396649,0.8753214593474017,0.1016585834020608,0.06636235319590544,3,6,3,0.0,1.0
2023-03-19 04:00:00+01:00,0.0,0.2,0.03623712305288662,0.16139110799084738,0.48369249531667435,0.08350482359533451,0.05062443368882119,4,6,3,0.0,1.0
2023-03-19 05:00:00+01:00,0.0,0.2,0.0,0.0,0.0,0.08009461764800585,0.041113994641681084,5,6,3,0.0,1.0
2023-03-19 06:00:00+01:00,0.0,0.2,0.05122455906557,0.009972888450846151,0.7536204678999934,0.15108465149764772,0.14816159064580225,6,6,3,0.0,1.0
2023-03-19 07:00:00+01:00,0.0027537398049689507,0.32,0.03337475652158273,0.8334017212229112,0.5035078789236571,0.045633875014795544,0.05175753136188155,7,6,3,0.0,1.0
2023-03-19 08:00:00+01:00,0.12026174615339268,0.56,0.32009171516801693,0.09923239336235129,0.46321991799495854,0.22137451542232556,0.19149106738904909,8,6,3,0.0,1.0
2023-03-19 09:00:00+01:00,0.364251147072582,0.67,0.49937498201815456,0.07677927303210536,0.3672159046637298,0.44374071209723065,0.3975032654097228,9,6,3,0.0,1.0
2023-03-19 10:00:00+01:00,0.6137483338450148,0.72,0.6917144565513256,0.304252393623404,0.9999999999999998,0.6684705328895183,0.6357600859412598,10,6,3,0.0,1.0
2023-03-19 11:00:00+01:00,0.8309682418035893,0.75,0.7795996414222692,0.2840657429807902,0.6183799109086956,0.9178836652144063,0.8887407213434702,11,6,3,0.0,1.0
2023-03-19 12:00:00+01:00,0.8660278941715007,0.72,0.9105825166763635,0.30220312458103044,0.25944803178359277,0.8980877885601074,0.8843170962640434,12,6,3,0.0,1.0
2023-03-19 13:00:00+01:00,0.9565292221190351,0.74,0.9030907817412228,0.6452504589740771,0.18745822136936852,0.948023166488459,0.9059014716455265,13,6,3,0.0,1.0
2023-03-19 14:00:00+01:00,1.0,0.77,1.0,0.716768046038877,0.4058888418979216,0.9999999999999999,1.0,14,6,3,0.0,1.0
2023-03-19 15:00:00+01:00,0.9287495856145268,0.78,0.9477093249412885,0.6461328181434045,0.6740971744070221,0.9507835223306581,0.8981837588863542,15,6,3,0.0,1.0
2023-03-19 16:00:00+01:00,0.7172179939379136,0.75,0.9362379009760946,0.7263384508602562,0.8230206911773321,0.7454938666491248,0.7133238448191634,16,6,3,0.0,1.0
2023-03-19 17:00:00+01:00,0.4635666167234876,0.71,0.8096932556164527,0.863464794794981,0.5149203232075588,0.49597598730949255,0.4669169362071097,17,6,3,0.0,1.0
2023-03-19 18:00:00+01:00,0.1937821890424614,0.62,0.7060643276991112,1.0000000000000002,0.9439267959591466,0.2218953060190526,0.21846360467417614,18,6,3,0.0,1.0
2023-03-19 19:00:00+01:00,0.012190014783895581,0.38,0.4797415471675781,0.9232068647639358,0.5902388932384424,0.013461456540750372,0.0031173239619954884,19,6,3,0.0,1.0
2023-03-19 20:00:00+01:00,0.0,0.2,0.36231700717391657,0.8260915740559807,0.588340809365558,0.0,0.012932832508638192,20,6,3,0.0,1.0
2023-03-19 21:00:00+01:00,0.0,0.2,0.2604059967203598,0.7996987757327068,0.9506793583983353,0.07902467029083515,0.098451527477313,21,6,3,0.0,1.0
2023-03-19 22:00:00+01:00,0.0,0.2,0.26429165473111227,0.7546209463615754,0.7408496309398516,0.061058148471046736,0.0717596157700705,22,6,3,0.0,1.0
2023-03-19 23:00:00+01:00,0.0,0.2,0.3019286648251671,0.5974371532675937,0.44343757192745303,0.02605014985771259,0.0,23,6,3,0.0,1.0



