datetime,solar_irradiance,kt,ambient_temperature,flow_rate,water_input_temperature,tank_temperature,water_output_temperature
2023-07-11 00:00:00+01:00,0.0,0.2,22.834149307412257,0.005595677402678259,22.0,23.299810737746604,22.0
2023-07-11 01:00:00+01:00,0.0,0.2,22.400373441626808,0.003889341744282217,22.0,23.4426243937257,22.307846611920734
2023-07-11 02:00:00+01:00,0.0,0.2,22.257934028171682,0.003456851978082445,20.812079167743605,23.0100452790013,21.826392945710428
2023-07-11 03:00:00+01:00,0.0,0.2,20.775047132204357,0.0025993156151379055,20.57445672974194,24.69420718634216,22.28404439072151
2023-07-11 04:00:00+01:00,0.0,0.2,21.624040419490363,0.002829059212490128,22.0,24.814001582102225,22.890271923543473
2023-07-11 05:00:00+01:00,1.3685,0.23,21.805010144348763,0.0037675369253810835,20.781986176043826,24.658666689775625,22.313063393698883
2023-07-11 06:00:00+01:00,36.005,0.38,22.25653945854123,0.00753585677328209,19.569548461522004,22.324786310972712,20.499578023937755
2023-07-11 07:00:00+01:00,139.6304,0.52,24.19141142014851,0.002812182656407342,19.768172728986162,28.468398483229922,26.25734753072902
2023-07-11 08:00:00+01:00,281.9115,0.61,26.854476617911626,0.003440200633608084,20.031120343688546,34.17780857116723,31.686397445046545
2023-07-11 09:00:00+01:00,421.5222,0.66,28.560590490301227,0.003879316243891189,20.130208059837567,37.82507932720127,36.60936630878181
2023-07-11 10:00:00+01:00,560.3849999999999,0.7,30.590901356287173,0.003910190688672018,22.0,43.420234343008325,41.68451370109689
2023-07-11 11:00:00+01:00,680.3412,0.74,31.549813542946882,0.0039809985306524884,22.0,47.381806083055665,46.09449120417383
2023-07-11 12:00:00+01:00,722.715,0.75,32.48184006183573,0.004493567309772922,20.36612739944796,50.05294432771333,47.63934897700373
2023-07-11 13:00:00+01:00,692.6030000000001,0.74,33.18080310258748,0.005926487689358567,21.571572291197327,48.430958029965105,47.01289824097622
2023-07-11 14:00:00+01:00,633.4178,0.74,32.0174060089104,0.005694874608209223,20.57934898796836,43.51151704932109,42.07435259719911
2023-07-11 15:00:00+01:00,506.67019999999997,0.71,31.39683815147759,0.006723526501935353,19.976517844799705,39.311789736534706,37.992461268625924
2023-07-11 16:00:00+01:00,338.03249999999997,0.65,29.758744771022634,0.006946898342756229,21.168380276777167,34.73402566589937,32.801755637977934
2023-07-11 17:00:00+01:00,187.891,0.58,28.966631058618916,0.007595487822600762,21.499451208897938,29.16918763515981,27.97392778185421
2023-07-11 18:00:00+01:00,62.81300000000001,0.46,27.128963418459147,0.007132418169689003,22.0,25.047222203964914,23.446385975708292
2023-07-11 19:00:00+01:00,3.7800000000000002,0.27,24.799681098529145,0.007714862300724785,22.0,20.65959799242182,22.0
2023-07-11 20:00:00+01:00,0.0,0.2,24.55897676901431,0.007086712571566955,22.0,21.590481665951234,22.0
2023-07-11 21:00:00+01:00,0.0,0.2,23.348597926553452,0.005819892034836195,20.320477166235335,23.519173417349162,21.77375783238279
2023-07-11 22:00:00+01:00,0.0,0.2,23.02321813164593,0.006775367434239303,19.802093611244008,22.59069497712074,20.796629703773057
2023-07-11 23:00:00+01:00,0.0,0.2,23.007348895252168,0.005587735580221867,22.0,23.116956776723892,22.004192545373233
